sid,title,authors,year,journal,tier,pyramid,category,model,peer_reviewed,doi,pmid,pmcid,finding,abstract,ai_intervention,ai_target,ai_species,ai_effect,ai_dose,ai_samplesize,ai_effectsize,ai_limitations,atlas_url
DEOLIVEIRA2026,Transcriptional modulation of the PI3K/AKT/mTOR signaling pathway mediated by HPV16 oncogene expression in breast cancer.,de Oliveira Isidio BE; Fontes PHB; da Silva GRP; Leao SL; de Franca Sao Marcos B; et al.,2026,Exploration of targeted anti-tumor therapy,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,"Human (clinical samples, FFPE tissue)",Yes,10.37349/etat.2026.1002391,,,"HPV16 oncogene expression in breast tumor tissue from 92 patients transcriptionally upregulates PI3K/AKT/mTOR pathway components, suggesting a viral mechanism contributing to mTOR pathway activation in breast cancer.
","Breast cancer is the most prevalent malignant tumor among women. Human papillomavirus (HPV) has been detected in breast tumors since the 1990s, and beyond its oncogenic potential, therapy resistance driven by viral immune evasion in non-anogenital tumors highlights the need to investigate viral activity in breast tissues. Among high-risk HPV types, HPV16 is one of the most prevalent and exhibits the highest carcinogenic potential. This study aimed to evaluate the expression of HPV16 oncogenes and the modulation of the PI3K/AKT/mTOR signaling pathway associated with viral activity. A total of 92 breast cancer patients were included after Ethics Committee approval. RNA was extracted from formalin-fixed, paraffin-embedded tissues and reverse-transcribed into cDNA. Transcripts of HPV oncogenes and components of the PI3K/AKT/mTOR pathway were quantified.",HPV16 oncogene expression,PI3K/AKT/mTOR,Human,Upregulates PI3K/AKT/mTOR pathway transcription in breast cancer,,,,,https://mtor-atlas.org/study/DEOLIVEIRA2026/
SIL2026,Enforcing mTORC1 activity in therapeutic CD4+ T cells promotes persistence but eventual immune exhaustion,Sillito F; Armbrecht E; O'Neill AT; McIntyre A; Nyatondo M; Holler A; Callender LA; Henson SM; Stauss H; Chakraverty R,2026,Journal of Immunology,C - Animal,4 - Animal Study,Mechanism,"Mouse CD4+ T cells, adoptive transfer tumor model",Yes,10.1093/jimmun/vkag206,42566506,,"Enforced RHEB overexpression (mTORC1 hyperactivation) in therapeutic CD4+ T cells boosts initial proliferation/persistence after adoptive transfer, but drives cells toward an exhausted phenotype (co-inhibitory receptors, impaired re-proliferation on rechallenge) -- a double-edged sword for CAR/TCR-T cell engineering, distinct from the CD8 response to the same manipulation.
","There is substantial interest in developing novel engineering strategies to promote the sustained metabolic fitness of therapeutic T cells. We previously showed that overexpression of RAS homologue enriched in brain (RHEB), a positive regulator of mammalian target of rapamycin complex 1 (mTORC1), promotes aerobic glycolysis and increases the anti-tumor functions of effector CD8+ T cells. To address whether these effects are conserved in CD4+ T cells, we have now examined how enforced activation of mTORC1 activity affects CD4+ T cell differentiation and function. Rheb overexpression induced a more balanced metabolic shift in CD4+ T cells than in CD8+ T cells, with increases in both oxidative phosphorylation and aerobic glycolysis. Although Rheb overexpression initially increased CD4+ T cell activation and proliferation in vitro, the underlying population architecture was complex, involving a shift to both more proliferative, cytotoxic-like cell states as well as more quiescent cell clusters characterised by counter-regulation of mTORC1 activity. Following adoptive transfer, tumor antigen-specific Rheb-transduced CD4+ T cells showed greater persistence but were less efficient than controls in eliminating tumor. This functional deficiency could be explained by a greater propensity of persisting Rheb-transduced CD4+ T cells to develop features of immune exhaustion, as evidenced by expression of multiple co-inhibitory receptors and impaired proliferation upon tumor rechallenge. Together, these data demonstrate the dynamic population response to tuning of T cell mTORC1 and the need to separately appraise cellular outputs of therapeutic CD4+ versus CD8+ T cells when metabolic pathways are manipulated by the same method.",,Rheb / mTORC1,,,,,,,https://mtor-atlas.org/study/SIL2026/
BRO1996,Dwarf mice and the ageing process,Brown-Borg HM; Bartke A et al.,1996,Nature,C - Animal,4 - Animal Study,Animal,Ames dwarf mice (growth-hormone deficient),Yes,10.1038/384033a0,8900272,,"Mice with growth hormone deficiency lived substantially longer than normal littermates - founding observation linking reduced growth-signaling to mammalian longevity.
","(Brief communication; no formal abstract in PubMed — editorial summary.) This landmark report shows that Ames dwarf mice, which carry a mutation causing combined deficiency of growth hormone, prolactin and thyroid-stimulating hormone, live substantially longer than their normal littermates (both sexes). It was among the first demonstrations that genetically reduced growth hormone / IGF-1 endocrine signalling extends lifespan in a mammal, linking the somatotropic axis — upstream of PI3K-Akt-mTOR — to the ageing process and providing a foundational genetic model for the biology of ageing and longevity.",Genetic – Ames dwarf mutation (GH/prolactin/TSH deficiency),GH/IGF-1 axis (upstream of PI3K-Akt-mTOR),Mouse (Ames dwarf),Substantially longer lifespan vs normal littermates (both sexes) – early evidence linking reduced growth signaling to longevity,,,,,https://mtor-atlas.org/study/BRO1996/
HSI2012,The translational landscape of mTOR signalling steers cancer initiation and metastasis,Hsieh AC; Liu Yi; Edlind MP; Ingolia NT; Janes MR; Sher A; et al.; Ruggero D,2012,Nature,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mouse models + human prostate cancer,Yes,10.1038/nature10912,22367541,PMC3663483,"Showed WHY mTOR-driven translation matters for cancer: in prostate cancer, oncogenic mTOR selectively translates a specific set of pro-invasion mRNAs that drive metastasis. An ATP-competitive mTOR inhibitor (INK128) reversed that signature - an early preclinical rationale from mouse models and cell lines, not a clinical result.
","The mammalian target of rapamycin (mTOR) kinase is a master regulator of protein synthesis that couples nutrient sensing to cell growth and cancer. However, the downstream translationally regulated nodes of gene expression that may direct cancer development are poorly characterized. Using ribosome profiling, we uncover specialized translation of the prostate cancer genome by oncogenic mTOR signalling, revealing a remarkably specific repertoire of genes involved in cell proliferation, metabolism and invasion. We extend these findings by functionally characterizing a class of translationally controlled pro-invasion messenger RNAs that we show direct prostate cancer invasion and metastasis downstream of oncogenic mTOR signalling. Furthermore, we develop a clinically relevant ATP site inhibitor of mTOR, INK128, which reprograms this gene expression signature with therapeutic benefit for prostate cancer metastasis, for which there is presently no cure. Together, these findings extend our understanding of how the 'cancerous' translation machinery steers specific cancer cell behaviours, including metastasis, and may be therapeutically targeted.",Oncogenic mTOR modulation + ribosome profiling,mTOR / 4E-BP–eIF4E translation,Mouse models + human prostate cancer,"Oncogenic mTOR reprograms translation of a specific gene set driving proliferation, metabolism and invasion/metastasis",,,,,https://mtor-atlas.org/study/HSI2012/
BOU2020,"AIMTOR, a BRET biosensor for live imaging, reveals subcellular mTOR signaling and dysfunctions",Bouquier N; Ollendorff V et al.,2020,BMC Biology,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,HEK293 cells; primary hippocampal neurons and muscle cells (mouse); biosensor tool,Yes,10.1186/s12915-020-00790-8,32620110,PMC7334845,"AIMTOR is a genetically encoded BRET biosensor that reads out mTOR activity live in single cells and in specific subcellular compartments (cytosol, lysosome surface, nucleus, near mitochondria) -- the enabling technology that makes pulsatile/oscillatory mTOR hypotheses experimentally testable rather than purely theoretical.
","mTOR signaling is an essential nutrient and energetic sensing pathway. Here we describe AIMTOR, a sensitive genetically encoded BRET (Bioluminescent Resonance Energy Transfer) biosensor to study mTOR activity in living cells. As a proof of principle, we show in both cell lines and primary cell cultures that AIMTOR BRET intensities are modified by mTOR activity changes induced by specific inhibitors and activators of mTORC1 including amino acids and insulin. We further engineered several versions of AIMTOR enabling subcellular-specific assessment of mTOR activities. We then used AIMTOR to decipher mTOR signaling in physio-pathological conditions. First, we show that mTORC1 activity increases during muscle cell differentiation and in response to leucine stimulation in different subcellular compartments such as the cytosol and at the surface of the lysosome, the nucleus, and near the mitochondria. Second, in hippocampal neurons, we found that the enhancement of neuronal activity increases mTOR signaling. AIMTOR further reveals mTOR-signaling dysfunctions in neurons from mouse models of autism spectrum disorder. Altogether, our results demonstrate that AIMTOR is a sensitive and specific tool to investigate mTOR-signaling dynamics in living cells and phenotype mTORopathies.","Genetically encoded BRET biosensor (AIMTOR) -- tool, not a drug intervention","mTOR activity (live, subcellular)","Human (HEK293); mouse (neurons, muscle)",Enables real-time single-cell/subcellular measurement of mTOR activity dynamics,,,,,https://mtor-atlas.org/study/BOU2020/
CHEN2026C,Impaired Chaperone-Mediated Autophagy Accelerates Intervertebral Disc Degeneration by Inducing MIDN Accumulation to Target TSC2 for Proteasomal Degradation,Chen Xianglong; Gao H; Wu W; Shi P; Chen Yuhang; Zhang A; Cheng Z; Wu W; Yu Z; Zhang Y,2026,Advanced Science,C - Animal,4 - Animal Study,Mechanism,Human nucleus pulposus cells; rat caudal needle-puncture model,Yes,10.1002/advs.77428,42658647,,"Loss of chaperone-mediated autophagy lets its substrate midnolin (MIDN) accumulate; MIDN binds TSC2 and drives its proteasomal degradation independently of ubiquitination, de-repressing mTORC1 and causing senescence, SASP and matrix loss in disc cells. MIDN knockdown, LAMP2A overexpression or rapamycin each blocked the degeneration - a new upstream route to mTORC1 hyperactivation.
","Intervertebral disc degeneration (IDD) is a leading cause of low back pain with incompletely understood mechanisms. Although autophagy dysfunction is a documented contributor to IDD, the precise pathobiological role of chaperone-mediated autophagy (CMA) remains poorly understood. Here, we demonstrate that CMA activity is downregulated in nucleus pulposus cells (NPCs) from IDD patients and IL-1beta-induced rat intervertebral disc cell models, causing cytoplasmic accumulation of a novel CMA substrate, Midnolin (MIDN). Accumulated MIDN bypasses the ubiquitin-proteasome system and directly binds to Tuberous Sclerosis Complex 2 (TSC2), mediating its degradation. TSC2 loss relieves mechanistic target of rapamycin complex 1 (mTORC1) inhibition, resulting in mTORC1 hyperactivation, which drives cellular senescence, senescence-associated secretory phenotype (SASP), and extracellular matrix (ECM) degradation in NPCs. In vitro and in a rat caudal needle puncture model, MIDN knockdown (shRNA), CMA activation (LAMP2A overexpression), or mTORC1 inhibition (Rapamycin) significantly attenuated IL-1beta or MIDN overexpression-induced senescence and disc degeneration. Our findings reveal an 'Impaired CMA-MIDN accumulation-TSC2 degradation-mTORC1 activation' axis central to IDD pathogenesis, offering potential therapeutic targets.","MIDN knockdown (shRNA), LAMP2A overexpression (CMA activation), rapamycin","TSC2 / mTORC1 (via midnolin, MIDN)",Human cells; rat,"Impaired CMA -> MIDN accumulation -> TSC2 degradation -> mTORC1 hyperactivation -> senescence, SASP and matrix loss; blocked by MIDN knockdown, LAMP2A overexpression or rapamycin",,,,,https://mtor-atlas.org/study/CHEN2026C/
JAC2006,SIN1/MIP1 maintains rictor-mTOR complex integrity and regulates Akt phosphorylation and substrate specificity,Jacinto E; Su B et al.,2006,Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1016/j.cell.2006.08.033,16962653,,"SIN1 maintains rictor-mTOR integrity and confers mTORC2 Akt-Ser473 kinase activity and substrate specificity.
","Mammalian target of rapamycin (mTOR) controls cell growth and proliferation via the raptor-mTOR (TORC1) and rictor-mTOR (TORC2) protein complexes. Recent biochemical studies suggested that TORC2 is the elusive PDK2 for Akt/PKB Ser473 phosphorylation in the hydrophobic motif. Phosphorylation at Ser473, along with Thr308 of its activation loop, is deemed necessary for Akt function, although the regulatory mechanisms and physiological importance of each phosphorylation site remain to be fully understood. Here, we report that SIN1/MIP1 is an essential TORC2/PDK2 subunit. Genetic ablation of sin1 abolished Akt-Ser473 phosphorylation and disrupted rictor-mTOR interaction but maintained Thr308 phosphorylation. Surprisingly, defective Ser473 phosphorylation affected only a subset of Akt targets in vivo, including FoxO1/3a, while other Akt targets, TSC2 and GSK3, and the TORC1 effectors, S6K and 4E-BP1, were unaffected. Our findings reveal that the SIN1-rictor-mTOR function in Akt-Ser473 phosphorylation is required for TORC2 function in cell survival but is dispensable for TORC1 function.",Biochemical/genetic (SIN1/MIP1),mTORC2 (rictor-mTOR) / Akt Ser473,Mammalian cells,SIN1 maintains rictor–mTOR (mTORC2) integrity and controls Akt Ser473 phosphorylation and substrate specificity,,,,,https://mtor-atlas.org/study/JAC2006/
CHI2012,Regulation and function of mTOR signalling in T cell fate decisions,Chi H,2012,Nature reviews. Immunology,D - Mechanistic/Review,Narrative Review,Review,Review,Yes,10.1038/nri3198,22517423,PMC3417069,"Review of mTOR signalling in T-cell fate decisions.
","The evolutionarily conserved kinase mTOR (mammalian target of rapamycin) couples cell growth and metabolism to environmental inputs in eukaryotes. T cells depend on mTOR signalling to integrate immune signals and metabolic cues for their proper maintenance and activation. Under steady-state conditions, mTOR is actively controlled by multiple inhibitory mechanisms, and this enforces normal T cell homeostasis. Antigen recognition by naive CD4(+) and CD8(+) T cells triggers mTOR activation, which in turn programmes the differentiation of these cells into functionally distinct lineages. This Review focuses on the signalling mechanisms of mTOR in T cell homeostatic and functional fates, and discusses the therapeutic implications of targeting mTOR in T cells.",Not applicable (review),mTOR / mTORC1 & mTORC2,Review,"mTOR integrates immune and metabolic cues to program T-cell homeostasis, activation and differentiation",,,,,https://mtor-atlas.org/study/CHI2012/
CHEN2026,FGF21-modified adipose stem cell-derived exosomes promote wound healing by activating fibroblast glycolysis through AMPK/mTOR signaling.,Chen K; Chen X; Wen C; Chen W; Liao Z; et al.,2026,Cellular signalling,C - Animal,4 - Animal Study,Mechanism,Mouse + Human fibroblasts,Yes,10.1016/j.cellsig.2026.112742,,,"FGF21-enriched exosomes from engineered ADSCs promote chronic wound healing by activating fibroblast glycolysis via AMPK/mTOR signaling, improving proliferation, migration, and tissue repair in a mouse model.
","Chronic wound healing disorders remain a significant clinical challenge, largely due to the limited effectiveness of conventional therapeutic strategies. Emerging evidence suggests that engineered exosomes represent a promising cell-free therapeutic approach. This study aimed to elucidate the mechanisms by which FGF21-modified adipose-derived mesenchymal stem cell (ADSC) exosomes promote wound healing. ADSCs overexpressing FGF21 were established using genetic engineering, and FGF21-enriched exosomes (Exo@FGF21) were isolated and characterized. The biological effects of Exo@FGF21 on human skin fibroblasts (HSFs) were assessed through proliferation, migration, invasion, and apoptosis assays. Mechanistic studies involved pharmacological inhibition of AMPK/mTOR signaling. Exo@FGF21 activated fibroblast glycolysis through the AMPK/mTOR pathway, promoting tissue repair in a mouse wound model.",FGF21-modified ADSC exosomes,AMPK/mTOR,Mouse + Human (fibroblasts in vitro),Promotes wound healing via AMPK/mTOR-activated glycolysis in fibroblasts,,,,,https://mtor-atlas.org/study/CHEN2026/
KRA2018,A randomized control trial to establish the feasibility and safety of rapamycin treatment in an older human cohort,Kraig E; Linehan LA; Liang H; Romo TQ; Liu Q; et al.; Kellogg DL,2018,Experimental Gerontology,B - Human,2 - Human Clinical Trial,Human,"Humans, pilot RCT (n=25, ages 70-95)",Yes,10.1016/j.exger.2017.12.026,29408453,PMC5869166,"A safety-first pilot RCT (n=25, ages 70-95) asking the basic question before any longevity trial: is daily rapamycin safe in healthy older people? Over 8+ weeks it was well tolerated with only minor red-blood-cell changes and - importantly - NO rise in blood glucose or insulin resistance in this short window. Groundwork for larger aging trials like PEARL.
","Inhibition of the mechanistic target of rapamycin (mTOR) pathway by rapamycin (RAPA), an FDA-approved immunosuppressive drug used as a clinical therapy to prevent solid organ allograft rejection, enhances longevity in mice. Importantly, RAPA was efficacious even when initiated in relatively old animals, suggesting that mTOR inhibition could potentially slow the progression of aging-associated pathologies in older humans (Harrison et al., 2009; Miller et al., 2011). However, the safety and tolerability of RAPA in older human subjects have not yet been demonstrated. Towards this end, we undertook a placebo-controlled pilot study in 25 generally healthy older adults (aged 70-95 years); subjects were randomized to receive either 1 mg RAPA or placebo daily. Although three subjects withdrew, 11 RAPA and 14 controls completed at least 8 weeks of treatment and were included in the analysis. We monitored for changes that would indicate detrimental effects of RAPA treatment on metabolism, including both standard clinical laboratory assays (CBC, CMP, HbA1c) and oral glucose tolerance tests (OGTTs). We also monitored parameters typically associated with aging that could potentially be modified by RAPA; these included cognitive function which was assessed by three different tools: Executive Interview-25 (EXIT25); Saint Louis University Mental Status Exam (SLUMS); and Texas Assessment of Processing Speed (TAPS). In addition, physical performance was measured by handgrip strength and 40-foot timed walks. Lastly, changes in general parameters of healthy immune aging, including serum pro-inflammatory cytokine levels and blood cell subsets, were assessed. Five subjects reported potential adverse side effects; in the RAPA group, these were limited to facial rash (1 subject), stomatitis (1 subject) and gastrointestinal issues (2 subjects) whereas placebo treated subjects only reported stomatitis (1 subject). Although no other adverse events were reported, statistically significant decrements in several erythrocyte parameters including hemoglobin (HgB) and hematocrit (Hct) as well as in red blood cell count (RBC), red blood cell distribution width (RDW), mean corpuscular volume (MCV), and mean corpuscular hemoglobin (MCH) were observed in the RAPA-treatment group. None of these changes manifested clinically significant effects during the short duration of this study. Similarly, no changes were noted in any other clinical laboratory, cognitive, physical performance, or self-perceived health status measure over the study period. Immune parameters were largely unchanged as well, possibly due to the advanced ages of the cohort (70-93 years; mean age 80.5). RAPA-associated increases in a myeloid cell subset and in Twere detected, but changes in most other PBMC cell subsets were not statistically significant. Importantly, the OGTTs revealed no RAPA-induced change in blood glucose concentration, insulin secretion, and insulin sensitivity. Thus, based on the results of our pilot study, it appears that short-term RAPA treatment can be used safely in older persons who are otherwise healthy; a trial with a larger sample size and longer treatment duration is warranted.","Rapamycin (oral, daily, ~8 weeks)",mTOR / mTORC1,"Human – healthy older adults (age 70–95, n=25)",Well tolerated; NO rise in blood glucose / insulin resistance in the short window – groundwork for larger geroprotection trials,"Rapamycin 1 mg daily orally (single dose tested; blood levels monitored in first 4 subjects), ~8-16 weeks; placebo-controlled.","Healthy older adults (ages 70-95); phase-1 subset = 8 subjects (half rapamycin / half placebo), 4-month protocol.",Established feasibility and safety of daily low-dose rapamycin in older adults; no serious adverse events; groundwork for larger geroprotection trials.,Small sample -> single 1 mg dose chosen; short duration; feasibility (not efficacy) study.,https://mtor-atlas.org/study/KRA2018/
XIA2026,"Nutrient-sensing pathways in adult stem cells: Orchestrating homeostasis, aging, and disease",Xiao T; Zeng YA; Hu C et al.,2026,Seminars in Cell & Developmental Biology,D - Mechanistic/Review,Narrative Review,Review,"Review (adult stem cells, multiple tissue systems)",Yes,10.1016/j.semcdb.2026.103690,42546460,,"Proposes an integrated framework in which mTOR, AMPK, sirtuins, and insulin/IGF-1 signaling jointly govern adult stem cell transitions between quiescence, activation, and differentiation; age-related dysregulation of this nutrient-sensing network drives stem cell exhaustion and tissue degeneration, and interventions (mTOR inhibitors, AMPK activators, NAD+ precursors, dietary strategies) can restore ASC function.
","Nutrient-sensing pathways, including mTOR, AMPK, Sirtuins, and insulin/IGF-1 signaling, are central regulators orchestrating adult stem cell (ASC) fate by dynamically modulating cellular metabolism. This review proposes a framework that integrates these pathways into a cohesive network that dictates the metabolic transitions between quiescence, activation, and differentiation in ASCs. Age-related dysregulation of this network leads to metabolic imbalance and stem cell exhaustion, underpinning tissue degeneration. Interventions such as mTOR inhibitors, AMPK activators, NAD+ precursors, and dietary strategies can rejuvenate ASC function by restoring metabolic balance, underscoring their therapeutic potential for mitigating aging and associated diseases.","N/A (review); discusses mTOR inhibitors, AMPK activators, NAD+ precursors, dietary strategies as ASC-rejuvenating interventions",mTOR / AMPK / Sirtuins / IGF-1 nutrient-sensing network,Review (multiple species/systems),Integrated nutrient-sensing network governs adult stem cell quiescence/activation/differentiation; dysregulation drives stem cell exhaustion and aging,,,,,https://mtor-atlas.org/study/XIA2026/
MAX2009,Molecular mechanisms of mTOR-mediated translational control,Ma XM; Blenis J et al.,2009,Nature reviews. Molecular cell biology,D - Mechanistic/Review,Narrative Review,Review,Review,Yes,10.1038/nrm2672,19339977,,"Review of the molecular mechanisms of mTOR-mediated translational control.
","The process of translation requires substantial cellular resources. Cells have therefore evolved complex mechanisms to control overall protein synthesis as well as the translation of specific mRNAs that are crucial for cell growth and proliferation. At the heart of this process is the mammalian target of rapamycin (mTOR) signalling pathway, which senses and responds to nutrient availability, energy sufficiency, stress, hormones and mitogens to modulate protein synthesis. Here, we highlight recent findings on the regulators and effectors of mTOR and discuss specific cases that serve as paradigms for the different modes of mTOR regulation and its control of translation.",Not applicable (review),mTOR / 4E-BP / S6K translation machinery,Review,Reviews how mTOR senses nutrients/energy/hormones to control protein synthesis,,,,,https://mtor-atlas.org/study/MAX2009/
HEI1991,Targets for cell cycle arrest by the immunosuppressant rapamycin in yeast,Heitman J; Movva NR; Hall MN,1991,Science,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Yeast (Saccharomyces cerevisiae),Yes,10.1126/science.1715094,1715094,,"Discovery of the TOR1 and TOR2 genes in yeast as the targets whose disruption causes rapamycin's cell-cycle-arresting toxicity - the original genetic identification of the TOR pathway.
","FK506 and rapamycin are related immunosuppressive compounds that block helper T cell activation by interfering with signal transduction. In vitro, both drugs bind and inhibit the FK506-binding protein (FKBP) proline rotamase. Saccharomyces cerevisiae cells treated with rapamycin irreversibly arrested in the G1 phase of the cell cycle. An FKBP-rapamycin complex is concluded to be the toxic agent because (i) strains that lack FKBP proline rotamase, encoded by FPR1, were viable and fully resistant to rapamycin and (ii) FK506 antagonized rapamycin toxicity in vivo. Mutations that conferred rapamycin resistance altered conserved residues in FKBP that are critical for drug binding. Two genes other than FPR1, named TOR1 and TOR2, that participate in rapamycin toxicity were identified. Nonallelic noncomplementation between FPR1, TOR1, and TOR2 alleles suggests that the products of these genes may interact as subunits of a protein complex. Such a complex may mediate nuclear entry of signals required for progression through the cell cycle.","Rapamycin (FKBP-rapamycin); genetic (FPR1, TOR)",FKBP / TOR,Yeast (S. cerevisiae),FKBP-rapamycin complex arrests cells in G1; identified FKBP and TOR as targets – a foundational discovery,,,,,https://mtor-atlas.org/study/HEI1991/
GAO2026,Astragaloside IV Mitigates Tacrolimus-Induced Chronic Nephrotoxicity by Regulating the mTOR-TFEB-GADD45alpha Pathway,"Ping Gao, Xinwei Cheng, Rui Xu, Xinyu Huang, Jianqiao Wang, Maochang Liu, Xiuxun Wu, Xinlei Guan, Yunzhou Chen, Zhenpeng Qiu",2026,Journal of Agricultural and Food Chemistry,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,In vitro (renal cell lines),Yes,10.1021/acs.jafc.5c17921,42438242,,"Astragaloside IV protects against tacrolimus-induced nephrotoxicity by inhibiting mTOR to activate TFEB and restore autophagy, nominating the mTOR-TFEB-GADD45alpha axis as a calcineurin-independent candidate therapeutic target (preclinical; no human data) in TICN.
","Tacrolimus-induced chronic nephrotoxicity (TICN) is mediated in part through calcineurin-dependent TFEB phosphorylation. Astragaloside IV (AS-IV) significantly reactivated TFEB and restored tacrolimus-impaired renal function, autophagy flux, and DNA repair. TFEB knockdown reversed AS-IV effects. AS-IV does not affect calcineurin but inhibits mTOR (which phosphorylates TFEB Ser211), thereby activating TFEB via the mTOR-TFEB-GADD45alpha axis.",Astragaloside IV,mTOR / TFEB / GADD45alpha / autophagy,In vitro (renal cells),"TFEB reactivation, restored autophagy flux, improved renal function markers, attenuation of nephrotoxicity",,,,,https://mtor-atlas.org/study/GAO2026/
